,date,open,high,low,close,adjusted_close,volume
0,1980-12-12,28.7392,28.8736,28.7392,28.7392,0.0997,469033600
1,1980-12-15,27.3728,27.3728,27.2608,27.2608,0.0946,175884800
2,1980-12-16,25.3792,25.3792,25.2448,25.2448,0.0876,105728000
3,1980-12-17,25.872,26.0064,25.872,25.872,0.0898,86441600
4,1980-12-18,26.6336,26.7456,26.6336,26.6336,0.0924,73449600
5,1980-12-19,28.2464,28.3808,28.2464,28.2464,0.098,48630400
6,1980-12-22,29.6352,29.7472,29.6352,29.6352,0.1028,37363200
7,1980-12-23,30.8672,31.0016,30.8672,30.8672,0.1071,46950400
8,1980-12-24,32.5024,32.6144,32.5024,32.5024,0.1128,48003200
9,1980-12-26,35.504,35.616,35.504,35.504,0.1232,55574400
10,1980-12-29,35.9968,36.1312,35.9968,35.9968,0.1249,93161600
11,1980-12-30,35.2576,35.2576,35.1232,35.1232,0.1218,68880000
12,1980-12-31,34.2496,34.2496,34.1152,34.1152,0.1183,35750400
13,1981-01-02,34.496,34.7424,34.496,34.496,0.1197,21660800
14,1981-01-05,33.8688,33.8688,33.7568,33.7568,0.1171,35728000
15,1981-01-06,32.368,32.368,32.256,32.256,0.1119,45158400
16,1981-01-07,31.0016,31.0016,30.8672,30.8672,0.1071,55686400
17,1981-01-08,30.3744,30.3744,30.24,30.24,0.1049,39827200
18,1981-01-09,31.8752,32.0096,31.8752,31.8752,0.1106,21504000
19,1981-01-12,31.8752,31.8752,31.6288,31.6288,0.1097,23699200
20,1981-01-13,30.6208,30.6208,30.5088,30.5088,0.1058,23049600
21,1981-01-14,30.6208,30.7552,30.6208,30.6208,0.1062,14291200
22,1981-01-15,31.248,31.4944,31.248,31.248,0.1084,14067200
23,1981-01-16,31.136,31.136,31.0016,31.0016,0.1075,13395200
24,1981-01-19,32.8832,32.9952,32.8832,32.8832,0.1141,41574400
25,1981-01-20,32.0096,32.0096,31.8752,31.8752,0.1106,30083200
26,1981-01-21,32.5024,32.7488,32.5024,32.5024,0.1128,15904000
27,1981-01-22,32.8832,33.1296,32.8832,32.8832,0.1141,35548800
28,1981-01-23,32.8832,32.9952,32.7488,32.7488,0.1136,11222400
29,1981-01-26,32.368,32.368,32.256,32.256,0.1119,24640000
30,1981-01-27,32.256,32.256,32.0096,32.0096,0.111,23699200
31,1981-01-28,31.136,31.136,31.0016,31.0016,0.1075,28156800
32,1981-01-29,29.9936,29.9936,29.8816,29.8816,0.1037,43904000
33,1981-01-30,28.4928,28.4928,28.2464,28.2464,0.098,46188800
34,1981-02-02,26.7456,26.7456,26.6336,26.6336,0.0924,23766400
35,1981-02-03,27.6192,27.7536,27.6192,27.6192,0.0958,19152000
36,1981-02-04,28.6272,28.7392,28.6272,28.6272,0.0993,27865600
37,1981-02-05,28.6272,28.8736,28.6272,28.6272,0.0993,7929600
38,1981-02-06,28.7392,28.8736,28.7392,28.7392,0.0997,13865600
39,1981-02-09,27.5072,27.5072,27.2608,27.2608,0.0946,16755200
40,1981-02-10,27.2608,27.3728,27.2608,27.2608,0.0946,18345600
41,1981-02-11,26.4992,26.4992,26.3648,26.3648,0.0915,13843200
42,1981-02-12,26.2528,26.2528,26.1184,26.1184,0.0906,14560000
43,1981-02-13,25.76,25.76,25.4912,25.4912,0.0884,11155200
44,1981-02-17,26.1184,26.2528,26.1184,26.1184,0.0906,12275200
45,1981-02-18,27.2608,27.5072,27.2608,27.2608,0.0946,19241600
46,1981-02-19,25.76,25.76,25.6256,25.6256,0.0889,22310400
47,1981-02-20,24.3712,24.3712,24.2592,24.2592,0.0842,24371200
48,1981-02-23,24.6176,24.752,24.6176,24.6176,0.0854,14112000
49,1981-02-24,23.9904,23.9904,23.744,23.744,0.0824,16979200
50,1981-02-25,25.2448,25.3792,25.2448,25.2448,0.0876,19488000
